invoice_id,expected_result
INV001,MATCHED
INV002,MATCHED
INV003,MATCHED
INV004,MATCHED
INV005,MATCHED
INV006,MATCHED
INV007,MATCHED
INV008,MATCHED
INV009,MATCHED
INV010,MATCHED
INV011,MATCHED
INV012,MATCHED
INV013,MATCHED
INV014,MATCHED
INV015,MATCHED
INV016,MATCHED
INV017,MATCHED
INV018,MATCHED
INV019,MATCHED
INV020,MATCHED
INV021,MATCHED
INV022,MATCHED
INV023,MATCHED
INV024,MATCHED
INV025,MATCHED
INV026,MATCHED
INV027,MATCHED
INV028,MATCHED
INV029,MATCHED
INV030,MATCHED
INV031,MATCHED
INV032,MATCHED
INV033,MATCHED
INV034,MATCHED
INV035,MATCHED
INV036,MATCHED
INV037,MATCHED
INV038,MATCHED
INV039,MATCHED
INV040,MATCHED
INV041,MATCHED
INV042,MATCHED
INV043,MATCHED
INV044,MATCHED
INV045,MATCHED
INV046,MATCHED
INV047,MATCHED
INV048,MATCHED
INV049,MATCHED
INV050,MATCHED
INV051,MATCHED
INV052,MATCHED
INV053,MATCHED
INV054,MATCHED
INV055,MATCHED
INV056,MATCHED
INV057,MATCHED
INV058,MATCHED
INV059,MATCHED
INV060,MATCHED
INV061,MATCHED
INV062,MATCHED
INV063,MATCHED
INV064,MATCHED
INV065,MATCHED
INV066,MATCHED
INV067,MATCHED
INV068,MATCHED
INV069,MATCHED
INV070,MATCHED
INV071,PAYMENT_MISMATCH
INV072,PAYMENT_MISMATCH
INV073,PAYMENT_MISMATCH
INV074,PAYMENT_MISMATCH
INV075,PAYMENT_MISMATCH
INV076,PAYMENT_MISMATCH
INV077,PAYMENT_MISMATCH
INV078,PAYMENT_MISMATCH
INV079,PAYMENT_MISMATCH
INV080,PAYMENT_MISMATCH
INV081,SETTLEMENT_MISMATCH
INV082,SETTLEMENT_MISMATCH
INV083,SETTLEMENT_MISMATCH
INV084,SETTLEMENT_MISMATCH
INV085,SETTLEMENT_MISMATCH
INV086,SETTLEMENT_MISMATCH
INV087,SETTLEMENT_MISMATCH
INV088,SETTLEMENT_MISMATCH
INV089,MISSING_PAYMENT
INV090,MISSING_PAYMENT
INV091,MISSING_PAYMENT
INV092,MISSING_PAYMENT
INV093,MISSING_PAYMENT
INV094,MISSING_SETTLEMENT
INV095,MISSING_SETTLEMENT
INV096,MISSING_SETTLEMENT
INV097,MISSING_SETTLEMENT
INV098,INVALID_REFERENCE
INV099,INVALID_REFERENCE
INV100,INVALID_REFERENCE
