invoice_id,customer_id,invoice_amount,invoice_date,currency,status
INV001,C001,1500,2026-08-01,INR,Paid
INV002,C002,3000,2026-08-08,INR,Paid
INV003,C003,2000,2026-08-04,INR,Paid
INV004,C004,1500,2026-08-19,INR,Paid
INV005,C005,1000,2026-08-01,INR,Paid
INV006,C006,2500,2026-08-08,INR,Paid
INV007,C007,1000,2026-08-18,INR,Paid
INV008,C008,7500,2026-08-08,INR,Paid
INV009,C009,3000,2026-08-01,INR,Paid
INV010,C010,7500,2026-08-11,INR,Paid
INV011,C011,2000,2026-08-07,INR,Paid
INV012,C012,1500,2026-08-03,INR,Paid
INV013,C013,1500,2026-08-12,INR,Paid
INV014,C014,3000,2026-08-02,INR,Paid
INV015,C015,10000,2026-08-18,INR,Paid
INV016,C016,7500,2026-08-03,INR,Paid
INV017,C017,3000,2026-08-21,INR,Paid
INV018,C018,5000,2026-08-19,INR,Paid
INV019,C019,1500,2026-08-02,INR,Paid
INV020,C020,2500,2026-08-10,INR,Paid
INV021,C021,2500,2026-08-04,INR,Paid
INV022,C022,3000,2026-08-15,INR,Paid
INV023,C023,5000,2026-08-06,INR,Paid
INV024,C024,5000,2026-08-07,INR,Paid
INV025,C025,3000,2026-08-21,INR,Paid
INV026,C026,2000,2026-08-18,INR,Paid
INV027,C027,2500,2026-08-06,INR,Paid
INV028,C028,7500,2026-08-09,INR,Paid
INV029,C029,2500,2026-08-11,INR,Paid
INV030,C030,2500,2026-08-02,INR,Paid
INV031,C031,7500,2026-08-09,INR,Paid
INV032,C032,2500,2026-08-19,INR,Paid
INV033,C033,5000,2026-08-07,INR,Paid
INV034,C034,10000,2026-08-13,INR,Paid
INV035,C035,10000,2026-08-05,INR,Paid
INV036,C036,2000,2026-08-08,INR,Paid
INV037,C037,3000,2026-08-19,INR,Paid
INV038,C038,7500,2026-08-12,INR,Paid
INV039,C039,2000,2026-08-17,INR,Paid
INV040,C040,1500,2026-08-02,INR,Paid
INV041,C041,2000,2026-08-21,INR,Paid
INV042,C042,7500,2026-08-20,INR,Paid
INV043,C043,7500,2026-08-13,INR,Paid
INV044,C044,10000,2026-08-17,INR,Paid
INV045,C045,1000,2026-08-04,INR,Paid
INV046,C046,3000,2026-08-21,INR,Paid
INV047,C047,1500,2026-08-10,INR,Paid
INV048,C048,2000,2026-08-15,INR,Paid
INV049,C049,3000,2026-08-17,INR,Paid
INV050,C050,1500,2026-08-21,INR,Paid
INV051,C051,2500,2026-08-05,INR,Paid
INV052,C052,2000,2026-08-18,INR,Paid
INV053,C053,1000,2026-08-20,INR,Paid
INV054,C054,10000,2026-08-01,INR,Paid
INV055,C055,5000,2026-08-10,INR,Paid
INV056,C056,1000,2026-08-08,INR,Paid
INV057,C057,1500,2026-08-03,INR,Paid
INV058,C058,10000,2026-08-03,INR,Paid
INV059,C059,2000,2026-08-05,INR,Paid
INV060,C060,10000,2026-08-18,INR,Paid
INV061,C061,3000,2026-08-17,INR,Paid
INV062,C062,7500,2026-08-07,INR,Paid
INV063,C063,2500,2026-08-10,INR,Paid
INV064,C064,5000,2026-08-15,INR,Paid
INV065,C065,10000,2026-08-04,INR,Paid
INV066,C066,2500,2026-08-03,INR,Paid
INV067,C067,1000,2026-08-19,INR,Paid
INV068,C068,2500,2026-08-19,INR,Paid
INV069,C069,1000,2026-08-03,INR,Paid
INV070,C070,1000,2026-08-08,INR,Paid
INV071,C071,1000,2026-08-11,INR,Paid
INV072,C072,2500,2026-08-09,INR,Paid
INV073,C073,2000,2026-08-19,INR,Paid
INV074,C074,10000,2026-08-14,INR,Paid
INV075,C075,1500,2026-08-14,INR,Paid
INV076,C076,7500,2026-08-15,INR,Paid
INV077,C077,1500,2026-08-02,INR,Paid
INV078,C078,5000,2026-08-04,INR,Paid
INV079,C079,2500,2026-08-18,INR,Paid
INV080,C080,7500,2026-08-06,INR,Paid
INV081,C081,2500,2026-08-03,INR,Paid
INV082,C082,1500,2026-08-02,INR,Paid
INV083,C083,2500,2026-08-06,INR,Paid
INV084,C084,10000,2026-08-07,INR,Paid
INV085,C085,2000,2026-08-13,INR,Paid
INV086,C086,3000,2026-08-15,INR,Paid
INV087,C087,10000,2026-08-05,INR,Paid
INV088,C088,2500,2026-08-02,INR,Paid
INV089,C089,5000,2026-08-02,INR,Paid
INV090,C090,1000,2026-08-19,INR,Paid
INV091,C091,10000,2026-08-17,INR,Paid
INV092,C092,2000,2026-08-02,INR,Paid
INV093,C093,1500,2026-08-06,INR,Paid
INV094,C094,1500,2026-08-20,INR,Paid
INV095,C095,2500,2026-08-13,INR,Paid
INV096,C096,2500,2026-08-19,INR,Paid
INV097,C097,1000,2026-08-20,INR,Paid
INV098,C098,7500,2026-08-19,INR,Paid
INV099,C099,5000,2026-08-09,INR,Paid
INV100,C100,5000,2026-08-08,INR,Paid
