payment_id,invoice_id,customer_id,payment_amount,payment_date,payment_method,status
PAY001,INV001,C001,1500,2026-08-01,NetBanking,Success
PAY002,INV002,C002,3000,2026-08-08,UPI,Success
PAY003,INV003,C003,2000,2026-08-04,NetBanking,Success
PAY004,INV004,C004,1500,2026-08-19,Card,Success
PAY005,INV005,C005,1000,2026-08-01,UPI,Success
PAY006,INV006,C006,2500,2026-08-08,NetBanking,Success
PAY007,INV007,C007,1000,2026-08-18,UPI,Success
PAY008,INV008,C008,7500,2026-08-08,Card,Success
PAY009,INV009,C009,3000,2026-08-01,UPI,Success
PAY010,INV010,C010,7500,2026-08-11,Card,Success
PAY011,INV011,C011,2000,2026-08-07,Card,Success
PAY012,INV012,C012,1500,2026-08-03,Card,Success
PAY013,INV013,C013,1500,2026-08-12,Card,Success
PAY014,INV014,C014,3000,2026-08-02,NetBanking,Success
PAY015,INV015,C015,10000,2026-08-18,UPI,Success
PAY016,INV016,C016,7500,2026-08-03,NetBanking,Success
PAY017,INV017,C017,3000,2026-08-21,NetBanking,Success
PAY018,INV018,C018,5000,2026-08-19,UPI,Success
PAY019,INV019,C019,1500,2026-08-02,NetBanking,Success
PAY020,INV020,C020,2500,2026-08-10,UPI,Success
PAY021,INV021,C021,2500,2026-08-04,Card,Success
PAY022,INV022,C022,3000,2026-08-15,NetBanking,Success
PAY023,INV023,C023,5000,2026-08-06,Card,Success
PAY024,INV024,C024,5000,2026-08-07,NetBanking,Success
PAY025,INV025,C025,3000,2026-08-21,UPI,Success
PAY026,INV026,C026,2000,2026-08-18,NetBanking,Success
PAY027,INV027,C027,2500,2026-08-06,Card,Success
PAY028,INV028,C028,7500,2026-08-09,NetBanking,Success
PAY029,INV029,C029,2500,2026-08-11,UPI,Success
PAY030,INV030,C030,2500,2026-08-02,Card,Success
PAY031,INV031,C031,7500,2026-08-09,UPI,Success
PAY032,INV032,C032,2500,2026-08-19,NetBanking,Success
PAY033,INV033,C033,5000,2026-08-07,NetBanking,Success
PAY034,INV034,C034,10000,2026-08-13,NetBanking,Success
PAY035,INV035,C035,10000,2026-08-05,Card,Success
PAY036,INV036,C036,2000,2026-08-08,NetBanking,Success
PAY037,INV037,C037,3000,2026-08-19,Card,Success
PAY038,INV038,C038,7500,2026-08-12,UPI,Success
PAY039,INV039,C039,2000,2026-08-17,Card,Success
PAY040,INV040,C040,1500,2026-08-02,UPI,Success
PAY041,INV041,C041,2000,2026-08-21,UPI,Success
PAY042,INV042,C042,7500,2026-08-20,UPI,Success
PAY043,INV043,C043,7500,2026-08-13,NetBanking,Success
PAY044,INV044,C044,10000,2026-08-17,Card,Success
PAY045,INV045,C045,1000,2026-08-04,NetBanking,Success
PAY046,INV046,C046,3000,2026-08-21,Card,Success
PAY047,INV047,C047,1500,2026-08-10,Card,Success
PAY048,INV048,C048,2000,2026-08-15,UPI,Success
PAY049,INV049,C049,3000,2026-08-17,UPI,Success
PAY050,INV050,C050,1500,2026-08-21,Card,Success
PAY051,INV051,C051,2500,2026-08-05,Card,Success
PAY052,INV052,C052,2000,2026-08-18,NetBanking,Success
PAY053,INV053,C053,1000,2026-08-20,Card,Success
PAY054,INV054,C054,10000,2026-08-01,UPI,Success
PAY055,INV055,C055,5000,2026-08-10,UPI,Success
PAY056,INV056,C056,1000,2026-08-08,NetBanking,Success
PAY057,INV057,C057,1500,2026-08-03,NetBanking,Success
PAY058,INV058,C058,10000,2026-08-03,NetBanking,Success
PAY059,INV059,C059,2000,2026-08-05,NetBanking,Success
PAY060,INV060,C060,10000,2026-08-18,UPI,Success
PAY061,INV061,C061,3000,2026-08-17,NetBanking,Success
PAY062,INV062,C062,7500,2026-08-07,NetBanking,Success
PAY063,INV063,C063,2500,2026-08-10,Card,Success
PAY064,INV064,C064,5000,2026-08-15,NetBanking,Success
PAY065,INV065,C065,10000,2026-08-04,UPI,Success
PAY066,INV066,C066,2500,2026-08-03,Card,Success
PAY067,INV067,C067,1000,2026-08-19,NetBanking,Success
PAY068,INV068,C068,2500,2026-08-19,UPI,Success
PAY069,INV069,C069,1000,2026-08-03,NetBanking,Success
PAY070,INV070,C070,1000,2026-08-08,UPI,Success
PAY071,INV071,C071,900,2026-08-11,NetBanking,Success
PAY072,INV072,C072,2000,2026-08-09,UPI,Success
PAY073,INV073,C073,1500,2026-08-19,UPI,Success
