settlement_id,payment_id,settlement_amount,settlement_date,status
SET001,PAY001,1500,2026-08-02,Settled
SET002,PAY002,3000,2026-08-09,Settled
SET003,PAY003,2000,2026-08-05,Settled
SET004,PAY004,1500,2026-08-20,Settled
SET005,PAY005,1000,2026-08-02,Settled
SET006,PAY006,2500,2026-08-09,Settled
SET007,PAY007,1000,2026-08-19,Settled
SET008,PAY008,7500,2026-08-09,Settled
SET009,PAY009,3000,2026-08-02,Settled
SET010,PAY010,7500,2026-08-12,Settled
SET011,PAY011,2000,2026-08-08,Settled
SET012,PAY012,1500,2026-08-04,Settled
SET013,PAY013,1500,2026-08-13,Settled
SET014,PAY014,3000,2026-08-03,Settled
SET015,PAY015,10000,2026-08-19,Settled
SET016,PAY016,7500,2026-08-04,Settled
SET017,PAY017,3000,2026-08-22,Settled
SET018,PAY018,5000,2026-08-20,Settled
SET019,PAY019,1500,2026-08-03,Settled
SET020,PAY020,2500,2026-08-11,Settled
SET021,PAY021,2500,2026-08-05,Settled
SET022,PAY022,3000,2026-08-16,Settled
SET023,PAY023,5000,2026-08-07,Settled
SET024,PAY024,5000,2026-08-08,Settled
SET025,PAY025,3000,2026-08-22,Settled
SET026,PAY026,2000,2026-08-19,Settled
SET027,PAY027,2500,2026-08-07,Settled
SET028,PAY028,7500,2026-08-10,Settled
SET029,PAY029,2500,2026-08-12,Settled
SET030,PAY030,2500,2026-08-03,Settled
SET031,PAY031,7500,2026-08-10,Settled
SET032,PAY032,2500,2026-08-20,Settled
SET033,PAY033,5000,2026-08-08,Settled
SET034,PAY034,10000,2026-08-14,Settled
SET035,PAY035,10000,2026-08-06,Settled
SET036,PAY036,2000,2026-08-09,Settled
SET037,PAY037,3000,2026-08-20,Settled
SET038,PAY038,7500,2026-08-13,Settled
SET039,PAY039,2000,2026-08-18,Settled
SET040,PAY040,1500,2026-08-03,Settled
SET041,PAY041,2000,2026-08-22,Settled
SET042,PAY042,7500,2026-08-21,Settled
SET043,PAY043,7500,2026-08-14,Settled
SET044,PAY044,10000,2026-08-18,Settled
SET045,PAY045,1000,2026-08-05,Settled
SET046,PAY046,3000,2026-08-22,Settled
SET047,PAY047,1500,2026-08-11,Settled
SET048,PAY048,2000,2026-08-16,Settled
SET049,PAY049,3000,2026-08-18,Settled
SET050,PAY050,1500,2026-08-22,Settled
SET051,PAY051,2500,2026-08-06,Settled
SET052,PAY052,2000,2026-08-19,Settled
SET053,PAY053,1000,2026-08-21,Settled
SET054,PAY054,10000,2026-08-02,Settled
SET055,PAY055,5000,2026-08-11,Settled
SET056,PAY056,1000,2026-08-09,Settled
SET057,PAY057,1500,2026-08-04,Settled
SET058,PAY058,10000,2026-08-04,Settled
SET059,PAY059,2000,2026-08-06,Settled
SET060,PAY060,10000,2026-08-19,Settled
SET061,PAY061,3000,2026-08-18,Settled
SET062,PAY062,7500,2026-08-08,Settled
SET063,PAY063,2500,2026-08-11,Settled
SET064,PAY064,5000,2026-08-16,Settled
SET065,PAY065,10000,2026-08-05,Settled
SET066,PAY066,2500,2026-08-04,Settled
SET067,PAY067,1000,2026-08-20,Settled
SET068,PAY068,2500,2026-08-20,Settled
SET069,PAY069,1000,2026-08-04,Settled
SET070,PAY070,1000,2026-08-09,Settled
SET071,PAY071,900,2026-08-12,Settled
SET072,PAY072,2000,2026-08-10,Settled
SET073,PAY073,1500,2026-08-20,Settled
SET074,PAY074,9800,2026-08-15,Settled
SET075,PAY075,1200,2026-08-15,Settled
SET076,PAY076,7400,2026-08-16,Settled
SET077,PAY077,1000,2026-08-03,Settled
SET078,PAY078,4800,2026-08-05,Settled
SET079,PAY079,2000,2026-08-19,Settled
SET080,PAY080,7200,2026-08-07,Settled
SET081,PAY081,2000,2026-08-04,Settled
SET082,PAY082,1400,2026-08-03,Settled
SET083,PAY083,2000,2026-08-07,Settled
SET084,PAY084,9500,2026-08-08,Settled
SET085,PAY085,1900,2026-08-14,Settled
SET086,PAY086,2700,2026-08-16,Settled
SET087,PAY087,9800,2026-08-06,Settled
SET088,PAY088,2400,2026-08-03,Settled
SET098,PAY098,7500,2026-08-20,Settled
SET099,PAY099,5000,2026-08-10,Settled
SET100,PAY100,5000,2026-08-09,Settled
